customer_id,age,gender,city,device,product_category,orders,avg_order_value,total_spent,signup_date
1,25.0,Male,Pune,Mobile,Clothing,12,1185.34,15251.06,2025-07-12
2,23.0,Female,Vadodara,Mobile,Clothing,4,4468.65,15335.71,2024-07-22
3,52.0,Female,Mumbai,Mobile,Home & Kitchen,1,6534.28,5867.12,2025-03-08
4,39.0,Female,Surat,Mobile,Home & Kitchen,2,1105.88,1944.17,2024-12-18
5,34.0,Male,Jaipur,Mobile,Beauty,2,4849.13,10656.66,2025-09-25
6,41.0,Male,Ahmedabad,Mobile,Clothing,5,8379.56,46363.91,2024-04-13
7,42.0,Female,Jaipur,Desktop,Home & Kitchen,3,3366.97,9220.64,2024-09-30
8,,Male,Mumbai,Mobile,Beauty,5,8414.62,43840.17,2025-07-24
9,32.0,Female,Vadodara,Mobile,Electronics,6,3619.49,18890.62,2025-08-03
10,38.0,Male,Jaipur,Mobile,Books,8,1514.4,10805.41,2025-07-28
11,52.0,Female,Delhi,Tablet,Beauty,6,2137.46,14739.0,2025-06-05
12,49.0,Male,Vadodara,Tablet,Clothing,11,1653.85,19177.36,2025-09-02
13,22.0,Female,vadodara,Desktop,Beauty,9,2399.03,21936.03,2024-01-12
14,25.0,Female,Bangalore,Mobile,Beauty,3,4047.85,13796.83,2024-09-26
15,50.0,Male,Ahmedabad,Tablet,Home & Kitchen,11,4487.45,44903.25,2025-01-17
16,28.0,Male,Bangalore,Mobile,Electronics,6,7511.58,75000.0,2024-11-10
17,33.0,Male,Mumbai,Tablet,Electronics,2,6315.05,13827.52,2025-06-29
18,26.0,Male,Jaipur,Tablet,Clothing,5,4650.54,23996.28,2024-08-04
19,52.0,Male,Pune,Mobile,Books,11,3393.38,41802.12,2025-04-07
20,25.0,Male,Mumbai,Mobile,Electronics,10,4864.46,49935.24,2024-01-08
21,22.0,Male,Mumbai,Mobile,Electronics,6,927.49,5127.54,2025-11-16
22,49.0,,Surat,Desktop,Sports,10,4202.27,45610.84,2025-02-20
23,30.0,Male,Ahmedabad,Desktop,Home & Kitchen,7,3700.48,28730.74,2024-02-25
24,24.0,Male,Delhi,Desktop,Electronics,4,1911.46,7729.07,2024-05-23
25,45.0,Male,Pune,Mobile,Electronics,8,6935.38,61408.08,2024-04-10
26,21.0,Male,Ahmedabad,Tablet,Clothing,3,3662.27,10925.37,2025-02-14
27,21.0,Male,Delhi,Mobile,Beauty,5,7901.12,42884.86,2024-10-19
28,45.0,Female,Surat,Mobile,Clothing,1,5070.32,5134.5,2024-11-17
29,21.0,Male,Jaipur,Mobile,Sports,3,813.57,2446.44,2024-07-09
30,22.0,Male,Mumbai,Mobile,Sports,4,5068.19,17473.55,2024-03-24
31,44.0,Female,Pune,Mobile,Books,6,2295.29,13341.18,2025-11-18
32,37.0,Female,Bangalore,Tablet,Electronics,1,4085.03,4695.89,2024-04-12
33,22.0,Male,Pune,Mobile,Home & Kitchen,2,7516.05,14443.72,2024-06-10
34,46.0,Female,Vadodara,Desktop,Sports,5,7943.81,34995.5,2024-05-17
35,34.0,Male,,Desktop,Clothing,5,2646.31,12082.9,2024-12-17
36,31.0,Female,Jaipur,Mobile,Electronics,2,5519.42,12129.53,2024-02-15
37,18.0,Female,Surat,Desktop,Home & Kitchen,3,6391.03,19470.35,2025-03-13
38,53.0,Male,Ahmedabad,Mobile,Books,3,4796.56,15834.09,2025-08-19
39,53.0,Male,Delhi,Mobile,Home & Kitchen,6,7676.7,50152.04,2024-02-10
40,40.0,Male,Mumbai ,Desktop,Home & Kitchen,9,7555.7,66091.36,2025-09-27
41,27.0,Male,Surat,Tablet,Clothing,7,552.01,4138.3,2024-12-06
42,44.0,Male,Pune,Mobile,Books,2,3467.72,5975.7,2025-04-26
43,32.0,Male,Jaipur,Mobile,Clothing,4,542.87,1971.57,2024-12-02
44,35.0,Male,Pune,Mobile,Sports,7,5888.07,45465.84,2024-12-05
45,19.0,Male,Pune,Mobile,Home & Kitchen,1,1233.48,1209.27,2024-11-17
46,45.0,Male,Delhi,Tablet,Clothing,5,711.75,3490.48,2025-06-16
47,52.0,Male,Bangalore,Mobile,Books,6,5428.72,34168.89,2024-05-07
48,37.0,Female,Delhi,Mobile,Books,5,4868.46,22091.9,2025-11-11
49,42.0,Male,Pune,Mobile,Electronics,5,,13159.02,2025-08-16
50,38.0,Female,Jaipur,Mobile,Clothing,9,4206.47,42414.63,2024-06-22
51,23.0,Female,Bangalore,Mobile,Clothing,11,2879.92,34592.61,2024-05-30
52,19.0,Male,Mumbai,Tablet,Sports,2,4061.64,9064.29,2025-08-12
53,30.0,Female,Jaipur,Mobile,Clothing,11,5954.12,73210.53,2024-04-19
54,45.0,Male,Surat,Desktop,Books,9,4136.08,37865.79,2024-05-04
55,47.0,Male,Jaipur,Desktop,Sports,10,2935.98,31608.03,2025-03-29
56,50.0,Female,Jaipur,Tablet,Books,8,4018.07,34572.54,2025-10-14
57,35.0,Female,Mumbai,Mobile,Electronics,12,2678.68,29942.75,2024-11-23
58,52.0,Male,Surat,Mobile,Beauty,12,1595.36,17501.47,2025-02-28
59,44.0,Female,Jaipur,Mobile,Clothing,7,3524.24,26666.41,2025-12-13
60,19.0,Female,Jaipur,Mobile,Home & Kitchen,5,6490.82,35895.35,2025-03-05
61,52.0,Male,Jaipur,Mobile,Beauty,8,586.55,4461.72,2025-11-26
62,43.0,Male,Jaipur,Tablet,Sports,9,569.78,4964.98,2025-07-31
63,19.0,Male,Delhi,Mobile,Beauty,3,759.82,2196.79,2024-08-04
64,47.0,Female,Bangalore,Desktop,Beauty,5,6478.88,35620.15,2024-09-15
65,23.0,Female,Vadodara,mobile,Electronics,6,2177.41,11373.73,2025-10-29
66,20.0,Male,Mumbai,Mobile,Electronics,10,1591.92,14134.12,2025-11-16
67,25.0,Male,Jaipur,Desktop,Home & Kitchen,3,5288.03,18071.11,2024-04-27
68,28.0,Female,Ahmedabad,Desktop,Home & Kitchen,10,5870.38,66772.75,2025-02-10
69,30.0,Male,Mumbai,Mobile,Home & Kitchen,11,5243.35,51119.94,2025-08-02
70,20.0,Female,Delhi,Desktop,Electronics,9,5627.48,43242.46,2025-03-06
71,49.0,Male,Delhi,Tablet,Books,8,6114.57,47969.84,2025-06-18
72,35.0,Female,Jaipur,Mobile,Books,10,2537.42,28051.53,2024-03-29
73,35.0,Female,Mumbai,,Sports,10,5795.74,55112.79,2025-05-21
74,38.0,Male,Jaipur,Mobile,Home & Kitchen,6,2629.22,16230.38,2024-10-09
75,53.0,Male,Mumbai,Mobile,Books,7,4331.91,32671.9,2025-12-08
76,48.0,Female,Jaipur,Desktop,Electronics,5,2156.01,11400.29,2024-11-09
77,55.0,Female,Jaipur,Desktop,Home & Kitchen,7,8472.55,60204.38,2024-12-26
78,47.0,Female,Pune,Mobile,Electronics,12,1919.56,20405.68,2025-07-02
79,29.0,Male,Mumbai,Desktop,Home & Kitchen,12,5155.13,66690.62,2025-09-03
80,36.0,Male,Mumbai,Mobile,Home & Kitchen,3,2813.48,8967.17,2024-05-09
81,35.0,Male,Vadodara,Desktop,Books,3,5548.64,17908.31,2024-04-15
82,18.0,Female,Jaipur,Mobile,Home & Kitchen,3,8218.81,22825.53,2025-05-04
83,25.0,Male,Delhi,Mobile,Sports,11,5944.58,58558.27,2025-07-30
84,37.0,Male,Mumbai,Mobile,Beauty,10,25000.0,53934.62,2025-06-19
85,42.0,Female,Jaipur,Mobile,Sports,7,2838.85,20593.46,2025-09-16
86,24.0,Male,Mumbai,Mobile,Electronics,3,2304.9,7022.55,2024-06-09
87,18.0,Female,Jaipur,Desktop,Beauty,5,616.01,2884.26,2024-10-16
88,47.0,female,Mumbai,Tablet,Books,10,5738.64,64852.4,2025-03-11
89,25.0,Male,Surat,Tablet,Clothing,2,836.05,1818.89,2025-09-01
90,54.0,Female,Jaipur,Mobile,Books,5,6052.83,34283.32,2025-05-27
91,52.0,Female,Jaipur,Mobile,Electronics,7,6336.45,45735.22,2024-01-27
92,23.0,Male,Vadodara,Tablet,Books,5,5046.41,27223.68,2024-06-28
93,48.0,Female,Pune,Mobile,Sports,7,5523.5,38568.52,2024-04-03
